,Repetition_1,Repetition_2,Repetition_3
cpu_usage_percent_avg,2.0092307692307685,1.8655737704918032,1.9524590163934428
cpu_usage_percent_max,8.1,5.5,4.7
cpu_usage_percent_p95,4.319999999999998,2.6,3.2
disk_read_mbps_avg,46.15211294740581,49.63427919880477,51.633500931331824
disk_write_mbps_avg,99.57117875742603,40.620000951335875,40.44476619830324
memory_usage_percent_avg,9.381538461538462,9.721311475409838,9.73770491803279
memory_usage_percent_max,10.1,10.6,10.3
network_recv_mbps_avg,0.0,0.0,0.0
network_sent_mbps_avg,0.0,0.0,0.0
perf_branch_misses_avg,100.0,100.0,100.0
perf_branch_misses_total,6500.0,6100.0,6100.0
perf_branches_avg,100.0,100.0,100.0
perf_branches_total,6500.0,6100.0,6100.0
perf_cache_miss_rate_avg,100.0,100.0,100.0
perf_cache_misses_avg,100.0,100.0,100.0
perf_cache_misses_total,6500.0,6100.0,6100.0
perf_cache_references_avg,100.0,100.0,100.0
perf_cache_references_total,6500.0,6100.0,6100.0
perf_cpu_cycles_avg,100.0,100.0,100.0
perf_cpu_cycles_total,6500.0,6100.0,6100.0
perf_instructions_avg,100.0,100.0,100.0
perf_instructions_total,6500.0,6100.0,6100.0
perf_ipc_avg,1.0,1.0,1.0
